createdat,topic,sentimentscore,eventprocessedutctime,partitionid,eventenqueuedutctime
2016-10-09T14:22:01,google,2,2016-10-09T14:29:23.280882Z,3,2016-10-09T14:22:32.072Z
2016-10-09T14:22:01,google,2,2016-10-09T14:29:23.280882Z,3,2016-10-09T14:22:32.712Z
2016-10-09T14:22:01,XBox,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:33.378Z
2016-10-09T14:22:01,bigdata,4,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:34.018Z
2016-10-09T14:22:01,bigdata,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:34.659Z
2016-10-09T14:22:01,amazon,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:35.284Z
2016-10-09T14:22:01,Skype,4,2016-10-09T14:29:23.108999Z,2,2016-10-09T14:22:36.017Z
2016-10-09T14:22:02,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:36.617Z
2016-10-09T14:22:02,amazon,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:37.208Z
2016-10-09T14:22:02,amazon,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:37.835Z
2016-10-09T14:22:02,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:38.509Z
2016-10-09T14:22:02,amazon,4,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:39.103Z
2016-10-09T14:22:02,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:39.775Z
2016-10-09T14:22:02,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:40.416Z
2016-10-09T14:22:02,Unknown,4,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:41.043Z
2016-10-09T14:22:02,google,2,2016-10-09T14:29:23.280882Z,3,2016-10-09T14:22:41.614Z
2016-10-09T14:22:02,amazon,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:42.285Z
2016-10-09T14:22:02,Skype,0,2016-10-09T14:29:23.108999Z,2,2016-10-09T14:22:42.978Z
2016-10-09T14:22:02,bigdata,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:43.567Z
2016-10-09T14:22:02,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:44.226Z
2016-10-09T14:22:03,Unknown,4,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:44.853Z
2016-10-09T14:22:02,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:45.494Z
2016-10-09T14:22:03,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:46.134Z
2016-10-09T14:22:03,google,2,2016-10-09T14:29:23.280882Z,3,2016-10-09T14:22:46.704Z
2016-10-09T14:22:03,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:47.392Z
2016-10-09T14:22:03,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:48.033Z
2016-10-09T14:22:03,google,2,2016-10-09T14:29:23.280882Z,3,2016-10-09T14:22:48.6Z
2016-10-09T14:22:03,XBox,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:49.266Z
2016-10-09T14:22:03,amazon,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:49.928Z
2016-10-09T14:22:03,XBox,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:50.556Z
2016-10-09T14:22:03,Unknown,4,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:51.222Z
2016-10-09T14:22:03,amazon,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:51.824Z
2016-10-09T14:22:03,Unknown,4,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:52.475Z
2016-10-09T14:22:03,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:53.101Z
2016-10-09T14:22:03,bigdata,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:53.779Z
2016-10-09T14:22:03,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:54.43Z
2016-10-09T14:22:03,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:55.071Z
2016-10-09T14:22:03,amazon,2,2016-10-09T14:29:22.5152134Z,1,2016-10-09T14:22:55.687Z
2016-10-09T14:22:03,amazon,2,2016-10-09T14:29:22.5152134Z,1,2016-10-09T14:22:56.312Z
2016-10-09T14:22:03,Skype,2,2016-10-09T14:29:23.108999Z,2,2016-10-09T14:22:56.979Z
2016-10-09T14:22:04,amazon,2,2016-10-09T14:29:22.5152134Z,1,2016-10-09T14:22:57.562Z
2016-10-09T14:22:04,XBox,2,2016-10-09T14:29:22.5152134Z,1,2016-10-09T14:22:58.205Z
2016-10-09T14:22:04,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:58.946Z
2016-10-09T14:22:04,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:59.587Z
2016-10-09T14:22:04,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:23:00.212Z
2016-10-09T14:22:04,amazon,2,2016-10-09T14:29:22.5152134Z,1,2016-10-09T14:23:00.823Z
2016-10-09T14:22:04,amazon,2,2016-10-09T14:29:22.5152134Z,1,2016-10-09T14:23:01.45Z
